Gene Marker Symbol_x,Gene MGI Accession ID_x,Viability
1110017D15Rik,MGI:1920971,Viable
1700001O22Rik,MGI:1923631,Viable
1700016H13Rik,MGI:1921468,Viable
1700025G04Rik,MGI:1916649,Viable
1700034E13Rik,MGI:1925664,Viable
2700054A10Rik,MGI:1919828,Viable
4833420G17Rik,MGI:1914642,Viable
4931406P16Rik,MGI:1924311,Viable
4932431P20Rik,MGI:2149781,Viable
5430419D17Rik,MGI:1918645,Viable
9230104L09Rik,MGI:1924955,Viable
AU040320,MGI:2140475,Viable
AW112010,MGI:2147706,Viable
Aadac,MGI:1915008,Viable
Aass,MGI:1353573,Viable
Abat,MGI:2443582,Lethal
Abca16,MGI:2388711,Viable
Abca9,MGI:2386796,Viable
Abcc5,MGI:1351644,Viable
Abcd3,MGI:1349216,Viable
Abhd11,MGI:1916008,Viable
Abhd17b,MGI:1917816,Viable
Acadsb,MGI:1914135,Viable
Acod1,MGI:103206,Viable
Acot2,MGI:2159605,Viable
Acsm1,MGI:2152200,Viable
Actg2,MGI:104589,Viable
Acy1,MGI:87913,Viable
Acy3,MGI:1918920,Viable
Adad2,MGI:1923023,Viable
Adamts14,MGI:2179942,Viable
Adamts16,MGI:2429637,Viable
Adamtsl3,MGI:3028499,Viable
Adamtsl4,MGI:2389008,Viable
Adarb2,MGI:2151118,Viable
Adck1,MGI:1919363,Viable
Adgb,MGI:3605549,Viable
Adprhl1,MGI:2442168,Viable
Adprhl2,MGI:2140364,Viable
Afmid,MGI:2448704,Viable
Agfg2,MGI:2443267,Viable
Agtr1a,MGI:87964,Viable
Ahsa1,MGI:2387603,Viable
Alad,MGI:96853,Lethal
Aldh1l1,MGI:1340024,Viable
Alg6,MGI:2444031,Lethal
Alg9,MGI:1924753,Lethal
Alpk1,MGI:1918731,Viable
Alpk2,MGI:2449492,Viable
Anapc1,MGI:103097,Lethal
Angel2,MGI:1196310,Viable
Ankrd35,MGI:2442590,Viable
Ankrd45,MGI:1921094,Viable
Anks3,MGI:1919865,Lethal
Ano7,MGI:3052714,Viable
Ano8,MGI:2687327,Viable
Anxa8,MGI:1201374,Viable
Aoah,MGI:1350928,Viable
Ap2b1,MGI:1919020,Lethal
Ap3m2,MGI:1929214,Viable
Apbb3,MGI:108404,Viable
Apmap,MGI:1919131,Viable
Arap3,MGI:2147274,Viable
Arhgap29,MGI:2443818,Lethal
Arhgap44,MGI:2144423,Viable
Arhgap8,MGI:1920417,Viable
Arl15,MGI:2442308,Lethal
Arl2bp,MGI:1349429,Viable
Arv1,MGI:1916115,Viable
Asb18,MGI:2655109,Viable
Asic4,MGI:2652846,Viable
Aspscr1,MGI:1916188,Viable
Atg4d,MGI:2444308,Viable
Atl3,MGI:1924270,Viable
Atp13a5,MGI:2444068,Viable
Atp1a3,MGI:88107,Lethal
Atp2c2,MGI:1916297,Viable
Atp6v1g2,MGI:1913487,Viable
Atp6v1h,MGI:1914864,Lethal
Auh,MGI:1338011,Viable
Aurkaip1,MGI:1913327,Lethal
Auts2,MGI:1919847,Lethal
B3galt1,MGI:1349403,Viable
B3galt6,MGI:2152819,Lethal
BC052040,MGI:3026886,Lethal
Bap1,MGI:1206586,Lethal
Baz2a,MGI:2151152,Viable
Bbc3,MGI:2181667,Viable
Bcas1,MGI:1924210,Viable
Bckdhb,MGI:88137,Lethal
Bdkrb1,MGI:88144,Viable
Bin2,MGI:3611448,Viable
Bpi,MGI:3045315,Viable
Bpifa2,MGI:97787,Viable
Brd2,MGI:99495,Lethal
Brd9,MGI:2145317,Lethal
Bri3,MGI:1933174,Viable
Brip1,MGI:2442836,Viable
Brwd1,MGI:1890651,Viable
Btbd17,MGI:1919264,Viable
Btg1,MGI:88215,Viable
Btn2a2,MGI:3606486,Viable
Btnl2,MGI:1859549,Viable
Btnl4,MGI:1932036,Viable
Bud23,MGI:1913388,Lethal
Bzw1,MGI:1914132,Viable
C1qc,MGI:88225,Viable
C2cd2,MGI:1891883,Viable
C2cd4a,MGI:3645763,Viable
C2cd4b,MGI:1922947,Viable
C4b,MGI:88228,Viable
C7,MGI:88235,Viable
C8g,MGI:88237,Viable
Calcr,MGI:101950,Viable
Catsper3,MGI:1924106,Viable
Ccdc146,MGI:1922422,Viable
Ccdc30,MGI:1920582,Viable
Ccdc59,MGI:1289302,Lethal
Ccdc6,MGI:1923801,Lethal
Ccdc78,MGI:2685784,Viable
Ccdc8,MGI:3612184,Lethal
Ccdc83,MGI:1918255,Viable
Ccnb1ip1,MGI:2685134,Viable
Cd300c,MGI:3032626,Viable
Cd300ld,MGI:2442358,Viable
Cd300ld2,MGI:3649405,Viable
Cd96,MGI:1934368,Viable
Cdc37l1,MGI:1914322,Viable
Cdk12,MGI:1098802,Lethal
Cdk13,MGI:1916812,Lethal
Cdk19,MGI:1925584,Viable
Cdkn1a,MGI:104556,Viable
Cdkn3,MGI:1919641,Viable
Cdrt4,MGI:1913588,Viable
Ceacam12,MGI:1914565,Viable
Ceacam14,MGI:1914334,Viable
Ceacam3,MGI:3646296,Viable
Cep135,MGI:2681869,Lethal
Cercam,MGI:2139134,Viable
Ces1d,MGI:2148202,Viable
Cgref1,MGI:1915817,Viable
Chchd5,MGI:1913420,Viable
Chchd7,MGI:1913683,Viable
Chd1,MGI:88393,Lethal
Chd3,MGI:1344395,Viable
Chodl,MGI:2179069,Viable
Chst12,MGI:1929064,Viable
Chsy3,MGI:1926173,Viable
Cldn13,MGI:1913102,Viable
Clptm1l,MGI:2442892,Viable
Clstn2,MGI:1929897,Viable
Cmtr2,MGI:2384580,Lethal
Cntd1,MGI:1923965,Viable
Cntn3,MGI:99534,Viable
Cntn6,MGI:1858223,Viable
Cntnap2,MGI:1914047,Viable
Cntnap5a,MGI:3643623,Viable
Col1a2,MGI:88468,Viable
Col22a1,MGI:1916950,Viable
Col26a1,MGI:2155345,Viable
Col4a2,MGI:88455,Lethal
Colec10,MGI:3606482,Viable
Cox20,MGI:1913609,Lethal
Cox6b1,MGI:107460,Lethal
Cox8a,MGI:105959,Viable
Cpa1,MGI:88478,Viable
Cpa4,MGI:1919041,Viable
Cps1,MGI:891996,Lethal
Cpvl,MGI:1918537,Viable
Crebzf,MGI:2675296,Viable
Crim1,MGI:1354756,Lethal
Crisp2,MGI:98815,Viable
Crisp3,MGI:102552,Viable
Crlf3,MGI:1860086,Viable
Cry1,MGI:1270841,Viable
Cryzl2,MGI:2448516,Viable
Csmd1,MGI:2137383,Viable
Csmd3,MGI:2386403,Viable
Ctbs,MGI:1921495,Viable
Cuedc1,MGI:2144281,Viable
Cwc22,MGI:2136773,Lethal
Cx3cl1,MGI:1097153,Viable
Cxcl2,MGI:1340094,Viable
Cxxc4,MGI:2442112,Viable
Cyld,MGI:1921506,Viable
Cyp3a59,MGI:3769707,Lethal
Cyp4f18,MGI:1919304,Viable
Cyp4v3,MGI:2142763,Viable
D17Wsu92e,MGI:106281,Viable
Dalrd3,MGI:1915039,Viable
Dcn,MGI:94872,Viable
Dctd,MGI:2444529,Viable
Dctn4,MGI:1914915,Lethal
Dctn6,MGI:1343154,Lethal
Ddx23,MGI:1921601,Lethal
Ddx59,MGI:1915247,Lethal
Dffb,MGI:1196287,Viable
Dgkh,MGI:2444188,Viable
Dhrs7c,MGI:1915710,Viable
Disp3,MGI:2444403,Viable
Dlat,MGI:2385311,Lethal
Dlgap2,MGI:2443181,Viable
Dnajb2,MGI:1928739,Viable
Dnase1l2,MGI:1913955,Viable
Dnd1,MGI:2447763,Viable
Dock9,MGI:106321,Viable
Dolk,MGI:2677836,Lethal
Drc7,MGI:2685616,Viable
Dsg1c,MGI:2664358,Viable
Dtwd1,MGI:1916435,Viable
Dusp16,MGI:1917936,Viable
E130311K13Rik,MGI:3607716,Viable
Eef1a2,MGI:1096317,Viable
Eef1b2,MGI:1929520,Viable
Efcab3,MGI:1918144,Viable
Efhd1,MGI:1921607,Viable
Egfem1,MGI:1922990,Viable
Eif2s2,MGI:1914454,Lethal
Eipr1,MGI:1289332,Lethal
Emcn,MGI:1891716,Viable
Eml1,MGI:1915769,Viable
Epas1,MGI:109169,Lethal
Erfe,MGI:3606476,Viable
Erg,MGI:95415,Lethal
Ermap,MGI:1349816,Viable
Etaa1,MGI:1915395,Viable
Etv3,MGI:1350926,Viable
Exo5,MGI:1920422,Viable
Exoc4,MGI:1096376,Lethal
F13a1,MGI:1921395,Viable
Fam114a1,MGI:1915553,Viable
Fam120a,MGI:2446163,Viable
Fam135b,MGI:1917613,Viable
Fam13a,MGI:1889842,Viable
Fam170a,MGI:2684939,Viable
Fars2,MGI:1917205,Lethal
Fblim1,MGI:1921452,Viable
Fbxl12,MGI:1354738,Viable
Fbxl15,MGI:1915681,Viable
Fbxl2,MGI:1919429,Viable
Fbxl8,MGI:1354697,Viable
Fbxo10,MGI:2686937,Viable
Fbxo15,MGI:1354755,Viable
Fbxo24,MGI:1918426,Viable
Fbxo27,MGI:2685007,Viable
Fbxo38,MGI:2444639,Viable
Fdx1l,MGI:1915415,Viable
Fgd1,MGI:104566,Lethal
Fibin,MGI:1914856,Viable
Fignl1,MGI:1890648,Lethal
Fmnl2,MGI:1918659,Viable
Foxk2,MGI:1916087,Viable
Frmd6,MGI:2442579,Viable
Frmpd1,MGI:2446274,Viable
Ftl2-ps,MGI:95590,Viable
Fto,MGI:1347093,Viable
Fuca1,MGI:95593,Viable
Fut2,MGI:109374,Viable
Fxn,MGI:1096879,Lethal
Fzd8,MGI:108460,Viable
G2e3,MGI:2444298,Viable
G6pd2,MGI:105977,Viable
Gabarapl1,MGI:1914980,Viable
Gabpa,MGI:95610,Lethal
Galnt12,MGI:2444664,Viable
Gas7,MGI:1202388,Viable
Gbp4,MGI:97072,Viable
Gbp5,MGI:2429943,Viable
Gcnt3,MGI:1919327,Viable
Gcsh,MGI:1915383,Lethal
Gdap2,MGI:1338001,Viable
Gimap3,MGI:1932723,Viable
Gja10,MGI:1339969,Viable
Gjc3,MGI:2153041,Viable
Glrb,MGI:95751,Lethal
Glyatl3,MGI:3647683,Viable
Glyctk,MGI:2444085,Viable
Gm14496,MGI:3769929,Viable
Gm4922,MGI:3644318,Viable
Gm5083,MGI:3779454,Viable
Gm5155,MGI:3647191,Viable
Gnb2,MGI:95784,Viable
Gnb4,MGI:104581,Viable
Gpatch1,MGI:1914721,Lethal
Gpd1l,MGI:1289257,Viable
Gpr15,MGI:1918473,Viable
Gpr25,MGI:2686146,Viable
Gpr39,MGI:1918361,Viable
Gpr61,MGI:2441719,Viable
Gpr68,MGI:2441763,Viable
Gpx6,MGI:1922762,Viable
Gramd2,MGI:3528937,Viable
Greb1l,MGI:3576497,Lethal
Gria1,MGI:95808,Viable
Grm7,MGI:1351344,Viable
Grp,MGI:95833,Viable
Grrp1,MGI:1919940,Viable
Gsdmd,MGI:1916396,Viable
Gsg1l,MGI:2685483,Viable
Gsto1,MGI:1342273,Viable
Gucy2c,MGI:106903,Viable
Gypc,MGI:1098566,Viable
H2-Ke6,MGI:95911,Viable
H2-T24,MGI:95958,Viable
H2al2a,MGI:1915481,Viable
Hao2,MGI:96012,Viable
Hdgfl1,MGI:1194493,Lethal
Hdgfl3,MGI:1352760,Viable
Herc1,MGI:2384589,Viable
Hgsnat,MGI:1196297,Viable
Hhatl,MGI:1922020,Viable
Hikeshi,MGI:96738,Lethal
Hilpda,MGI:1916823,Viable
Hmcn1,MGI:2685047,Viable
Hmgn1,MGI:96120,Viable
Hnrnpm,MGI:1926465,Lethal
Hnrnpr,MGI:1891692,Viable
Hpf1,MGI:1919862,Viable
Hrasls5,MGI:1913977,Viable
Hrnr,MGI:3046938,Viable
Hs3st3b1,MGI:1333853,Viable
Hsbp1l1,MGI:1913505,Viable
Hspb6,MGI:2685325,Viable
Htra3,MGI:1925808,Viable
Iars2,MGI:1919586,Lethal
Icam5,MGI:109430,Viable
Ier2,MGI:104815,Viable
Igf2bp3,MGI:1890359,Viable
Igsf8,MGI:2154090,Viable
Ikzf4,MGI:1343139,Viable
Il18rap,MGI:1338888,Viable
Il1rl1,MGI:98427,Viable
Il20rb,MGI:2143266,Viable
Il33,MGI:1924375,Viable
Il6ra,MGI:105304,Viable
Ing4,MGI:107307,Viable
Iqca,MGI:1922168,Viable
Iqcj,MGI:3644166,Viable
Irgm2,MGI:1926262,Viable
Irx3,MGI:1197522,Viable
Itln1,MGI:1333831,Viable
Itm2c,MGI:1927594,Viable
Josd1,MGI:1921408,Viable
Jpt1,MGI:1096361,Viable
Kank1,MGI:2147707,Viable
Kat2b,MGI:1343094,Viable
Kcna10,MGI:3037820,Lethal
Kcnb2,MGI:99632,Viable
Kcnc3,MGI:96669,Viable
Kcnd3,MGI:1928743,Viable
Kcng2,MGI:3694646,Viable
Kcnj11,MGI:107501,Viable
Kcnk13,MGI:2384976,Viable
Kcns2,MGI:1197011,Viable
Kctd1,MGI:1918269,Viable
Kctd13,MGI:1923739,Viable
Kctd17,MGI:1920094,Viable
Kctd7,MGI:2442265,Viable
Kctd9,MGI:2145579,Viable
Kdm5a,MGI:2136980,Lethal
Kera,MGI:1202398,Viable
Kif15,MGI:1098258,Viable
Klf14,MGI:3577024,Viable
Klhl2,MGI:1924363,Viable
Klk6,MGI:1343166,Viable
Klra7,MGI:101901,Viable
Kmt2a,MGI:96995,Lethal
Kmt2c,MGI:2444959,Lethal
Kri1,MGI:2384899,Lethal
Krt77,MGI:3588209,Viable
Krt80,MGI:1921377,Viable
Krt90,MGI:3045312,Viable
Kynu,MGI:1918039,Viable
L3mbtl3,MGI:2143628,Lethal
L3mbtl4,MGI:2444889,Viable
Lamp5,MGI:1923411,Viable
Large2,MGI:2443769,Viable
Larp1b,MGI:1914604,Viable
Lgals4,MGI:107536,Viable
Lmcd1,MGI:1353635,Viable
Lmo7,MGI:1353586,Viable
Loxl1,MGI:106096,Viable
Lpgat1,MGI:2446186,Lethal
Lrba,MGI:1933162,Viable
Lrrc30,MGI:2685172,Viable
Lrrc8c,MGI:2140839,Viable
Lta4h,MGI:96836,Viable
Ly6e,MGI:106651,Lethal
Lypd5,MGI:1924192,Viable
Lzts1,MGI:2684762,Viable
Maats1,MGI:2443598,Viable
Macrod1,MGI:2147583,Viable
Map3k13,MGI:2444243,Viable
Mast1,MGI:1861901,Viable
Matn4,MGI:1328314,Viable
Mbd1,MGI:1333811,Viable
Mbd2,MGI:1333813,Viable
Mbl2,MGI:96924,Viable
Mccc2,MGI:1925288,Lethal
Mcidas,MGI:3648807,Viable
Mcmbp,MGI:1920977,Lethal
Mctp1,MGI:1926021,Viable
Med10,MGI:106331,Lethal
Med20,MGI:1929648,Lethal
Med23,MGI:1917458,Lethal
Mettl3,MGI:1927165,Lethal
Mgme1,MGI:1921778,Viable
Mgrn1,MGI:2447670,Viable
Micalcl,MGI:1918127,Viable
Mkrn2,MGI:1914277,Viable
Mkrn3,MGI:2181178,Viable
Mllt6,MGI:1935145,Viable
Mmaa,MGI:1923805,Viable
Mon1a,MGI:1920075,Viable
Morc2a,MGI:1921772,Lethal
Mpdz,MGI:1343489,Viable
Mpp6,MGI:1927340,Viable
Mpped2,MGI:1924265,Viable
Mpv17,MGI:97138,Viable
Mpz,MGI:103177,Viable
Mrgprb2,MGI:2441674,Viable
Mrgprx1,MGI:3033139,Viable
Mrpl3,MGI:2137204,Lethal
Mrpl44,MGI:1916413,Lethal
Mt1,MGI:97171,Viable
Muc3a,MGI:3588263,Viable
Mum1,MGI:1915364,Viable
Mvk,MGI:107624,Lethal
Myh10,MGI:1930780,Lethal
Myl10,MGI:1891705,Viable
Mylk4,MGI:3643758,Viable
Myo18b,MGI:1921626,Lethal
Myo1d,MGI:107728,Viable
Myo5c,MGI:2442485,Viable
Myom1,MGI:1341430,Viable
Nacc1,MGI:1914080,Viable
Nadk2,MGI:1915896,Lethal
Nalcn,MGI:2444306,Lethal
Nanos2,MGI:2676627,Viable
Nars2,MGI:2142075,Lethal
Ncbp1,MGI:1891840,Lethal
Ncbp2,MGI:1915342,Lethal
Ndufs2,MGI:2385112,Lethal
Ndufs8,MGI:2385079,Lethal
Neil2,MGI:2686058,Viable
Nek2,MGI:109359,Viable
Nhlh2,MGI:97324,Viable
Nhs,MGI:2684894,Viable
Nim1k,MGI:2442399,Viable
Nipsnap2,MGI:1278343,Viable
Npffr1,MGI:2685082,Viable
Npffr2,MGI:1860130,Viable
Nr2f6,MGI:1352453,Viable
Nrap,MGI:1098765,Viable
Nt5dc1,MGI:2442446,Viable
Nxn,MGI:109331,Lethal
Oard1,MGI:2146818,Viable
Oaz2,MGI:109492,Viable
Ofcc1,MGI:2658851,Viable
Olfml2b,MGI:2443310,Viable
Olfr376,MGI:3030210,Viable
Olfr392,MGI:3030226,Viable
Orc6,MGI:1929285,Lethal
Osbpl10,MGI:1921736,Viable
Osbpl5,MGI:1930265,Viable
Ostn,MGI:2677164,Viable
Otogl,MGI:3647600,Viable
Otud3,MGI:1920412,Viable
P2ry14,MGI:2155705,Viable
Pabpc4l,MGI:3643087,Viable
Pacrg,MGI:1916560,Viable
Paf1,MGI:1923988,Lethal
Pak6,MGI:2679420,Viable
Palm,MGI:1261814,Viable
Patj,MGI:1277960,Viable
Pbld1,MGI:1915621,Viable
Pbld2,MGI:1914557,Viable
Pcdh12,MGI:1855700,Viable
Pcdh15,MGI:1891428,Viable
Pcnx2,MGI:2445010,Viable
Pcyox1l,MGI:3606062,Viable
Pde6a,MGI:97524,Viable
Pdgfrl,MGI:1916047,Viable
Pdik1l,MGI:2385213,Viable
Pdlim1,MGI:1860611,Viable
