"","dat.Gene.Marker.Symbol","dat.Gene.Type"
"1","Gpr173",NA
"40","Tas2r116",NA
"45","Tlr11",NA
"55","Plet1",NA
"61","Tas2r102",NA
"69","4932431P20Rik",NA
"70","5330434G04Rik",NA
"77","Gm5083",NA
"81","Tlr12",NA
"85","Brcc3",NA
"95","Zfp763",NA
"103","H2afb3",NA
"107","Tlr11",NA
"109","4930502E18Rik",NA
"113","H2al2a",NA
"141","Klra7",NA
"143","Serpina1f",NA
"144","Serpina3n",NA
"145","Slc6a20b",NA
"146","Spink12",NA
"148","Abca16",NA
"158","Egfem1",NA
"162","Pbsn",NA
"167","Prkx",NA
"171","Arhgap36",NA
"173","Arr3",NA
"174","Cdrt4",NA
"177","G6pd2",NA
"203","Taf1",NA
"204","Psg20",NA
"205","Ceacam15",NA
"206","Ceacam3",NA
"207","Gm12169",NA
"208","Cd300ld",NA
"217","Chrdl1",NA
"226","Ceacam14",NA
"227","2900097C17Rik",NA
"240","Cd300ld2",NA
"243","H2-T24",NA
"246","9230104L09Rik",NA
"247","Gpr141b",NA
"253","Mrgpra1",NA
"260","Usp51",NA
"266","Ceacam15",NA
"268","Ceacam11",NA
"270","Psg17",NA
"271","Ceacam12",NA
"275","Gm4922",NA
"280","Erfe",NA
"290","Ceacam13",NA
"291","Ceacam5",NA
"292","Gm5155",NA
"299","Gm17750",NA
"300","Trav1",NA
"309","Otogl",NA
"327","Ofcc1",NA
"333","Pvr",NA
"358","Acot2",NA
"380","Cnksr2",NA
"391","Irgm2",NA
"397","Muc3a",NA
"401","Gm17750",NA
"403","Gbp4",NA
"418","Tas2r116",NA
"425","Pabpc4l",NA
"430","Gm14496",NA
"440","Trbv19",NA
"443","Wdr45",NA
"444","Zfp560",NA
"447","Zscan12",NA
"461","Micalcl",NA
"464","Mrgprb2",NA
"481","AW112010",NA
"491","Cntnap5c",NA
"497","Serpinb9c",NA
"504","Nr0b1",NA
"505","Vmn2r27",NA
"506","Dsg1c",NA
"507","Btnl2",NA
